prop,types_of_units,amenities,income_requirements,rent_occupancy,how_to_apply,,
"Oak Street Terrac 1109 Oak Stree Oakland, CA 94607 sahahomes.or SAHA",Seniors 55+,"On-site healthcare and translation services Solar energ Natural and recycled finished material 1,500 square feet of retail","Minimum income Maximum income:",Please contact property.,Download application at: sahahomes.org or pick up application at ADRC,,
"Peter Babcock Hous 2530 Woolsey Stree Berkeley, C sahahomes.or SAHA","Individual SRO unit (in 5BR house Applicants must be currently homeless and living with AIDS/HIV","Shared kitche Shared bat Shared living spac Shared backyar No overnight guests","Minimum income $7,32 Maximum income $32,750","Please contac property.","Download application at sahahomes.org or pick up application at ADR Applications must be submitted to: Manager_бщs Offic 1719 University Av Berkeley, CA 94704",,
"St. Andrew_бщs Mano 3250 San Pablo Avenu Oakland, C sahahomes.or SAHA","Seniors 62 Accepting applications for studios","Accessibility upgrade Elevator Eco-friendly features","Minimum income Maximum income 1 person - $31,25 2 people - $35,70 3 people - $40,150",Please contact property.,Download application at: sahahomes.org or pick up application at ADRC,,
"St. Patrick_бщs Terrac 1212 Center Stree Oakland, CA 94607 sahahomes.or SAHA","Seniors 62 Studio & 1BR units","Unit rehabs Accessibility upgrades Elevator Eco-friendly features","Minimum income Maximum income 1 person - $31,25 2 people - $35,70 3 people - $40,150","30% of annual incom Section 8 accepte Occupancy limits 2 persons",Download application at: sahahomes.org or pick up application at ADRC,,
"Shattuck Senior Home 2425 Shattuck Avenu Berkeley, CA 94704 sahahomes.or SAHA","Seniors 55 Accepting applications for 1BR",Near public transportation,"Minimum income Studio - $10,20 1BR - $17,40 Maximum income 1 Person - $32,75 2 Persons - $37,40 3 Persons - $42,100","Section 8 accepte Occupancy limits: Studio - 2 person 1BR - 3 persons","Download application at sahahomes.org or pick up application at ADRC",,
"Eden Lodg 400 Springlake Driv San Leandro, CA 94578 (510) 352-3329 edenhousing.or Eden","Senior 62 1BR units","On-site laundry Activity room Elevators Beauty shop Librar Garden plots available Exercise equipment Dining room Recreation roo Mandatory meal progra (1 meal/day On-site services and program Patios and balconies","Minimum income Maximum income:",30%,Applications available at: edenhousing.org or pick up at the ADRC,,
"Glen Berr 625 Berry Av Hayward, CA 94544 (510) 247-3199 edenhousing.or Eden","Family Apartment Accepting applications for 2BR, 3BR, & 4BR","Community room Security cameras On-site childcare Diswasher In-unit washer & dryer","Minimum income 2.5x the ren 3BR - $29,000 $33,000/yea Maximum 3 persons - $49,860","2BR - $991-119 3BR - $1144-138 4BR - $131 Section 8 accepted","Applications available at edenhousing.org or pick up at the ADRC",,
"Las Palma 15370 Tropic Cour San Leandro, CA 94579 (510) 357-6397 edenhousing.or Eden","Family Apartment 1BR & 2BR units","On-site laundr Playgroun Near BART & public transpor Swimming poo Pet-friendly","Minimum income Maximum income:","1 BR - $800-$95 2 BR - $995-$139 Section 8 accepted",Applications available at: edenhousing.org or pick up at the ADRC,,
"Owl_бщs Landin 860 Herman Avenu Livermore, CA 94550 (925) 443-6662 edenhousing.or Eden","Family Apartment 1BR, 2BR, & 3B unit Accepting applications for 1BR units","Community roo Computer la On-site childcar On-site support services for children, youth, adults,
& families","Minimum income Maximum income:","1BR - $925-$1,02 2BR - $1,04 3BR - $1,215",Applications available at: edenhousing.org or pick up at the ADRC,,
"Ridgeview Common 5200 Case Avenu Pleasanton, CA 94566 (925) 484-5131 edenhousing.or Eden","Seniors 62 1BR & 2BR units (200)","On-site laundr Library Dining room Activitie Full-service beauty salo Pool table Coffee room Community building Business office","Minimum income Maximum income 1 person - $39,300/y 2 persons - $44,880/yr","1BR - $80 2BR - $93 Section 8 accepte Occupancy limits","Applications available at edenhousing.org or pick up at the ADRC",,
"Sara Conner Cour 32540 Pulaski Driv Hayward, CA 94544 (510) 487-1680 edenhousing.or Eden","Family Apartment 1BR, 2BR, & 3B units","On-site laundry Community room Convenient Computer la Landscaped courtyard Sitting & play areas Dishwashe Private or semi-private open space","Minimum income Maximum income:","1BR - $830-$1,00 2BR - $991-$1,19 3BR - $1,144-$1,384",Applications available at: edenhousing.org or pick up at the ADRC,,
"The Sur 15370 Tropic Cour San Leandro, CA 94579 (510) 357-6397 edenhousing.or Eden","Family Apartment 1BR (46) units","Computer lab Gated community On-site laundry Playgroun Near BART & shoppin Pet-friendly","Minimum income Maximum income:","1BR - $838-$90 Section 8 accepted",Applications available at: edenhousing.org or pick up at the ADRC,,
"Tennyson Garden 981 Tennyson Roa Hayward, CA 94544 (510) 887-1323 edenhousing.or Eden","Family Apartment 1BR, 2BR, & 3B units (96)",Parking,"Minimum income Maximum income:","1BR - $1,01 2BR - $1,20 3BR - $1,40 Section 8 accepted","Applications available at edenhousing.org or pick up at the ADRC",,
"Vandenburgh Vill 3300-3340 Gardella Plaz Livermore, CA 94550 (925) 454-0580 edenhousing.or Eden","Senior 62 1BR (40) units","All spaces wheelchair accessibl On-site laundry Community building Tenant gardens Private porches","Minimum income Maximum income:",30%,"For application information, please call Vandenburgh Villa directly.",,
"San Pablo Hote 1955 San Pablo Avenu Oakland, CA 94612 ebaldc.or EBALDC","Seniors 55 SRO units (144 Waitlist approximatel 6 month _ба 1 year","Shared bath Resident service 24-hour front desk staff","Minimum income 1.5 times the ren Maximum income: None","$410-492/mont Section 8 accepte Occupancy limits: SRO - 2 persons","Pick up applications at Sa Pablo Hotel",,
"Avalon Senior Housin 3850 San Pablo Avenu Emeryville, CA 94608 ebaldc.or EBALDC","Seniors 62 Studios, 1BR, & 2B units (67 Accepting applications for 1BR units","In-room emergency pulls Community area with kitche Parkin Community garden","Minimum income Maximum income:",Please contact property.,"Pick up applications at Avalo Senior Housing",,
"Effie's Hous 829 E.19th Stree Oakland, CA 9460 EBALDC","Individuals & Couples Studios & 1BR units (27 Accepting applications for studios",Community room Picnic area Backyard,"Minimum income Maximum income:","Please contac property.","Pick up applications at Effie_бщ House.",,
"Hismen Hin-Nu Terrac 2555 International Blv Oakland, CA 94601 ebaldc.or EBALDC","Family Apartment 1BR, 2BR, 3BR,  4BR units (92 Accepting applications for 2BR, 3BR, & 4BR",Laundry room Community room Head Start Program Community services,"Minimum income: Twice the ren Maximum income; At or below: 50% t 60% AM Example for 60% AMI 1 person: $38,82 2 persons: $44,340","1BR - $574-$73 2BR - $945-$97 3BR - $745-$111 4BR - $1183-$1253",Applications available at: ebaldc.org or pick up at the ADRC,,
"Northgate Apartments Oakland, CA 94612 (510) 873-8202 rcdev.or RCD","Familie 2BR (16), 3BR (22),  4BR (4) units",Courtyard Public art Green building,"Minimum income Maximum income:","Please contac property Section 8 accepted.",Call for application.,,
"East Leland Courts Apartment 2563 East Leland Roa Pittsburg, CA 94565 (925) 427-0500 mercyhousing.or Mercy Housing","Individuals & Familie Units (63)","Outdoor courtyards Gated community On-site childcare Laundry facilities Community room Internet cafеЉ Resident service On-site management Water, trash, & sewage included","Minimum income Maximum income 1 person - $34,37 2 people - $39,27 3 people - $44,22 4 people - $49,11 5 people - $53,02 6 people - $56,98 7 people - $60,885","1BR - $468-$75 2BR - $560 - $1,06 3BR - $643 - $1,22 4BR - $712 - $1,23 Security deposit required equal to one month's rent.","WAITLIST OPEN Applications available at the Property Management Office 2563 East Leland Roa Suite 10 Pittsburg CA 94565.",,
"Acalanes Cour 1988 Trinity Avenu Walnut Creek, Ca (925) 944-9159 sahahomes.or SAHA",Individuals & Families,"Spacious floor plan Storag Full kitchens with modern appliance Laundry facilit Activity roo On-site managemen On-site programs","Minimum income Studio - $18,09 1BR - $15,04 2BR - $22,77 3BR - $26,20 Maximum income 1 Person - $32,75 2 Persons - $37,40 3 Persons - $42,10 4 Persons - $46,75 5 Persons - $50,50 6 Persons - $54,25 7 Persons - $58,000","Please contac property.","Download application at sahahomes.org o pick up application at ADRC",,
"Sierra Garden Apartment 150-170 Sierra Driv Walnut Creek, CA 94523 sahahomes.or SAHA","Individual & Famil Apartment Accepting applications for 3BR & 4BR",Pool,"Minimum income 1BR - $16,00 2BR - $19,80 3BR - $27,31 4BR - $34,75 Maximum income 1 Person - $39,30 2 Persons - $44,88 3 Persons - $50,52 4 Persons - $56,10 5 Persons - $60,60 6 Persons - $65,10 7 Persons - $69,600",Please contact property.,"Download application at sahahomes.org o pick up application at ADRC",,
"Columbia Park Mano 1780 Chester Driv Pittsburg, CA Sahahomes.or SAHA","Seniors 62 1BR (78)","Shared pati Beautiful landscaping Peaceful resting areas Large community room with kitche On-site laundr Resident & guest parking","Minimum income Non Maximum income 1 Person - $31,25 2 Persons - $35,700","Please contac property.","Download application at sahahomes.org o pick up application at ADRC",,
"Hookston Senior Apartment 80 West Hookston Roa Pleasant Hill, C sahahomes.or SAHA",Seniors 62+,"Lush open spac Community house","Minimum income 1BR - $9,24 2BR - $12,50 Maximum income:",Please contact property.,"Download application at sahahomes.org o pick up application at ADRC",,
"Belle Terr 3428 Mount Diablo Boulevar Lafayette, CA 94549 (510) 582-1460 edenhousing.or Eden","Seniors 62 17 units reserved for seniors with physical disabilitie Units are Project-Base Section 8","Convenient Sustainable features On-site management Community roo Outdoor patio & garde Courtyard Computer learning cente Library Exercise room Raised planter On-site support services","Minimum income 20%, 40%, 50% AMI Maximum income:",30%,"IN DEVELOPMEN Pre-applications available at: edenhousing.org or pick up an application at the ADR Estimation completion b 1/14",,
"Chesley Avenue Mutual Housin 802 Chesley Av Richmond, CA 94801 (510) 232-2040 edenhousing.or Eden","Familie 2BR & 3BR unit Accepting applications for 2BR & 3BR",Community room Computer lab Gated community On-site laundry Tot lot,"Minimum income: Twice the ren Maximum income $36,000/year","2BR - $535-81 3BR - $97 Section 8 accepted",Applications available at: edenhousing.org or pick up an application at the ADRC,,
"East Bluf 1813 Marlesta Cour Pinole, CA 94564 (510) 724-4913 edenhousing.or Eden","Familie 1BR, 2BR, & 3B units","Play are Landscaped courtyard Convenien Most utilities included Laundry facilities Swimming pool Private patio After-school program Family resource room Computer la Summer youth lunch progra Employment services","Minimum income 50%-60% AMI Maximum income:","Please contac property Section 8 accepted","Applications available at edenhousing.org or pick up an application at the ADRC",,
"Riverhouse Hote 700 Alhambra Avenu Martinez, CA 94553 (925) 229-9093 edenhousing.or Eden","Individual SRO, studios, & 1B units (75 Accepting applications for SRO & 1BR units","Convenien Private baths","Minimum income Maximum income:","SRO - $40 Studio - $47 1BR - $68 Section 8 accepted",Applications available at: edenhousing.org or pick up an application at the ADRC,,
"Rivertown Plac 712 I Stree Antioch, CA  94509 (925) 778-2380 edenhousing.or Eden","Family Apartment 1BR, 2BR, & 3B units","On-site managemen On-site laundr On-site maintenance Playground Computer la Community room with kitchen","Minimum income Maximum income:","1BR - $466-$81 2BR - $559-$98 3BR - $645-$1,13 Section 8 accepted",Applications available at: edenhousing.org or pick up an application at the ADRC,,
"Samara Terrac 102 Civic Driv Hercules, CA 94547 (510) 245-3164 edenhousing.or Eden","Seniors 62 1BR (52) units","Convenient Parking Controlled entr On-site management On-site laundry Community room Librar Computer lab Community gardens Fitness roo TV lounge roo Full kitchens","Minimum income Maximum income:","30 Section 8 accepted","Applications available at edenhousing.org or pick up an application at the ADRC",,
"Victoria Gree 163 Paradise Driv Hercules, CA 94547 (510) 245-0170 edenhousing.or Eden","Family Apartment 1BR, 2BR, 3BR unit (132 Accepting applications for 2BR & 3BR units",Coffee room,"Minimum income Maximum income:","1BR - $613-$96 2BR - $831-$1,34 3BR - $850-$1,70 Section 8 accepted",Applications available at: edenhousing.org or pick up an application at the ADRC,,
"Villa Spring 22328/22330 South Garde Hayward, CA 94541 (510) 783-8970 edenhousing.or Eden","Family Apartment 1BR, 2BR, 3BR unit (66 Accepting applications for 2BR units",On-site laundry Playground Security cameras Secure entries,"Minimum income Maximum income:","1BR - $68 2BR - $815-$92 3BR - $93 Section 8 accepted",Applications available at: edenhousing.org or pick up an application at the ADRC,,
"Virginia Lan 1121 & 1140 Virginia Lan Concord, CA  94520 (925) 489-6800 edenhousing.or Eden Housing","Family Apartment 1BR & 2BR units (91)","On-site laundry Playground Dishwasher Wall heate Air conditioning","Minimum income Maximum income:","1BR - $76 2BR - $95 Section 8 accepted","Applications available at edenhousing.org or pick up an application at the ADRC",,
"West Rivertow 811 West 4th Street Antioch, CA 94509 (925) 777-160 edenhousing.or Eden","Family Apartment Studios, 1BR, 2BR,  3BR units (57 Accepting applications for 1BR, 2BR, & 3BR units","Community roo Computer lab","Minimum income Maximum income:","1BR - $466-$99 2BR - $559-$1,19 3BR - $645-$1,37 Section 8 accepted",Applications available at: edenhousing.org or pick up an application at the ADRC,,
"Wicklow Squar 7606 Amador Valley Boulevar Dublin, CA 94568 (925) 556-9424 edenhousing.or Eden","Senior 62 1BR (54) units",On-site laundry Community room Outdoor terraces Community planters Near Senior Center Balconies,"Minimum income Maximum income:","$77 Section 8 accepted","For information, contac Wicklow Square directly",,
"The Arbor 5257 Creely Avenu Richmond, CA 94804 rcdev.or RCD","Seniors & Familie 1BR (12) & 2BR (23 unit 23 units with Project Based Section 8 subsid 4 units are handicapped accessible","Interior rehabilitatio Laundr Accessible modification Computer la On-site management On-site services Community space Green building features","Minimum income 30% - 60% AM $26,79 Maximum income $53,580","1BR - $440-$86 2BR - $531-$1,03 Section 8 accepted",Call for application,,
"Bella Mont Bay Point, CA 94565 (925) 261-125 rcdev.or RCD","Families & Specia Need 1BR (13), 2BR (8),  3BR (31) unit 5 units are reserved for persons w/ HIV/AIDS","Childcare Open space Residential laundry Community roo On-site management","Minimum income Maximum income:","Please contact property Section 8 accepted",Call for application,,
"Camara Circle Concord, CA 94520 (925) 676-4771 rcdev.or RCD","Familie 2BR (52)",Community park,"Minimum income Maximum income:",Please contact property.,Call for application.,,
"Lakeside Apartments Concord, CA 94520 (925) 827-2805 rcdev.or RCD","Familie 1BR (69), 2BR (41),  3BR (14) units",Open space Recreation Common areas Laundry rooms Pools,"Minimum income Maximum income:","Please contact property Section 8 accepted",Call for application.,,
"Casa De Los Amigo 967 Lundy Stree San Jose, CA 95133 (408) 937-0794 edenhousing.or Eden","Disabled Individual Units (24)","On-site laundry Community room Security cameras Intercom entry Elevator Air conditioning","Minimum income Maximum income:",30%,Applications available at: edenhousing.org or pick up an application at the ADRC,,
"Edenvale Special Need 5340 Monterey Highwa San Jose, CA 95111 (408) 224-5081 edenhousing.or Eden","Developmentall Disabled Individual 1BR (11), 2BR (3 2BR units are designed for live-in caretakers","On-site management On-site laundry Convenient Community room with kitche Landscaped gardens Fully accessible units On-site support services","Minimum income Maximum income:",Please contact property.,"For information, contact: Housing Choices & Coalitio 30 Las Colinas Lane San Jose, CA 95111 (408) 284-0992",,
"Hillview Glen Apartment 3220 Pearl Avenu San Jose, CA 94136 (408) 723-1644 edenhousing.or Eden","Individuals an Familie Accepting application for 1BR, 2BR, & 3BR","Playground Security Cameras Community room Computer lab Swimming pool Dishwasher Garbage disposa Washer/dryer hookups","Minimum income Maximum income:","1BR - $1,010-$1,24 2BR - $1,208-$1,48 3BR - $1,391-$1,900",Applications available at: edenhousing.org or pick up an application at the ADRC,,
"Ohlone Chynoweth Common 5300 Terner Wa San Jose, CA 95136 (408) 265-9374 edenhousing.or Eden","Familie 1BR, 2BR, 3BR,  4BR units (194)","High-speed Internet Playground Childcare Cente On-site support services","Minimum income Maximum income:","1BR - $714-$1,03 2BR - $1,195-$1,39 3BR - $1,278-$1,49 4BR - $1,416-$2,258","Applications available at edenhousing.org or pick up an application at the ADRC",,
"Casa De Los Amigo 967 Lundy Stree San Jose, CA  95133 (408) 937-0794 edenhousing.or Eden","Disabled Adult Accepting applications for studios","On-site laundry Community room Security cameras Intercom entry system Elevator Air conditioning","Minimum income Maximum income:","30% of Adjuste Monthly Income",Applications available at: edenhousing.org or pick up an application at the ADRC,,
"Eden Palm 5398 Monterey Roa San Jose CA 95111 (408)227-5864 edenhousing.or Eden","Familie Accepting applications for 2BR, 3BR, & 4BR",Assigned parking Childcare Community room Computer lab Playground,"Minimum income Maximum income:","2BR _ба $777-$1,37 3BR _ба $893-$1,58 4BR _ба $985-$1,75 Security Deposit $120 Section 8 accepted",Applications available at: edenhousing.org or pick up an application at the ADRC,,
"Arbor Par 899 N King Roa San Jose, CA 95133 (408) 272-1588 midpen-housing.or Mid Pen","Familie 1BR, 2BR, 3BR unit (75)","Air Conditioning in Living Room & Dining Room Laundry Facilit 2 Playground Common Room","Minimum income Maximum income 30%, 40%, 50%, 60% AMI","AMI @ 30%    60 1 BR    564.    1,163 2 BR     597.   1,38 AMI @ 40%     60 3 BR    1,130. 1,391. Also dependent on family size Section 8 accepte OCCUPANC 1 BR 3 peopl 2 BR 5 peopl 3 BR  7 people","Apply at 899 King Roa San Jose, CA 95133 (408) 272-1588",,
"Carroll In 174 Carroll Stree Sunnyvale, CA 94086 (408) 773-8014 midpen-housing.or Mid Pen","Indvidual SRO Units (122)","Private bathroom Shared kitchens","Minimum income 2 X Ren Maximum income:","SRO $440 - $58 OCCUPANC 1 perso Section 8 accepted","Apply at 174 Carroll Street Sunnyvale, CA 94086 (408) 773-8014",,
"Country Hill 124 _ба 142 Rancho Driv San Jose, CA 95111 (408) 578-8441 midpen-housing.or Mid Pen","Familie Studios, 1BR, & 2B units (152)","2 Laundry facilitie Swimming Poo On site securit Updated Kitchens & Baths","Minimum income 1ы_ to 2 X ren Maximum income:","Studio $1,077 1 BR  $916. - 1,10 2 BR   1,093 _ба 1,35 OCCUPANCY Studio 2 peopl 1BR 3 peopl 2 BR 5 peopl Section 8 accepted","Apply at Country Hill 124 Rancho Drive San Jose, CA 95111 (408) 578-8441",,
"Crescent Terrac 130 Crescent Terrac Sunnyvale, CA 94087 (408) 749-106 midpen-housing.or Mid Pen","Senior 1BR units (48)","Private Patios & Balconie Air Conditioning Security System Elevato Laundry Facilitie Computer Center","Minimum income 2 X Ren Maximum income:","1 BR $800.0 Occupancy 2 peopl Section 8 accepted","Apply at: Crescent Terrac 130 Crescent Terrac Sunnyvale, CA 94087 (408) 749-1060",,
"Fair Oaks Plaz 690 South Fair Oaks Ave Sunnyvale, CA 94086 (408) 333-9811 midpen-housing.or Mid Pen","Seniors & Specia Need 1BR & 2BR units (124 Accepting applications fo 1BR","Airconditioning Balcony Elevato Underground Parking Laundry Facilities Community room with Computer Community Garden Senior & Special Needs Services","Minimum income 2 X Ren Maximum income:","1 BR $950.0 2 BR Rent set b Housing Authorit Section 8 accepte OCCUPANC 1 BR  2 BR 5","1 BR apply at: Fair Oaks Plaz 690 South Fair Oaks Ave Sunnyvale, Ca 94086 (408) 333-9811 o On Line Applicatio 2 BR Apply at Santa Clara Housin Authority",,
"The Fountain 2005 San Ramon Driv Mountain View, CA 94043 (650) 966-106 midpen-housing.or Mid Pen","Senior 1BR units (124)","2 Laundry Facilities Community Room Computer Lab Librar Exercise Room","Minimum income 2 X Ren Maximum income 1 person $44,500.00 y 2 People $59,400.00 yr","1 BR $961. _ба 1,248 Rent based on last lease amoun Section 8 accepte Occupancy 3","Apply at The Fountain 2005 San Ramon Drive Mountain View, CA 94043 (650) 966-1060",,
"Ginzton Terrac 375 Oaktree Driv Mountain View, CA 94040 (650) 390-945 midpen-housing.or Mid Pen","Senior Studios (8), 1BR (93),
& 2BR (6) units",Computer Lab Common Room Exercise Room Garden Club,"Minimum income: Studio $1,726.0 1 BR    2,364.0 2 BR    2,650.0 Maximum income:","Studio $  863.0 1 BR     1,182.0 2 BR     1,324.0 Section 8 accepte OCCUPANCY Studio  1 BR    2 BR   3","Apply at: Ginzton Terrac 375 Oaktree Driv Mountain View, CA 94040 (650) 390-9450",,
"Homepor 5030 Union Ave. San Jose, CA9512 (408) 279-2706 midpen-housing.or Mid Pen","Special Need 1BR (15)",Live in Manager oversees training for independent living.,"Minimum income Maximum income:",Please contact property.,"Apply at: Homepor 5030 Union Ave San Jose, CA 95124 (408) 279-2706 or Online application",,
"Italian Garden 1500 Almaden Roa San Jose, CA 95125 (408) 293-9118 midpen-housing.or Mid Pen","Familie 1BR, 2BR, & 3B units (148)",Park with trees & ponds,"Minimum income 2 X Ren Maximum income:","1 BR $625. _ба 1042.0 2 B 3 B Rent also dependent on # of occupant OCCUPANC 1 BR 3 peopl 2 BR 5 peopl 3 BR 7 peopl Section 8 accepted",,,
"Le Beaulie 10092 Bianchi Wa Cupertino, CA 95014 (408) 446-1583 midpen-housing.or Mid Pen","Special Need 1BR & 2BR units (27)","Remodeled Bathroom Community Room","Minimum income Maximum income:",Please contact property.,"Apply at Le Beaulie 10092 Bianchi Wa Cupertino, CA 9501 408) 446-1583 o Online application",,
